OBČINA,KOMUNALA,NAČIN ZBIRANJA (zbirni center ALI drugje ALI naročilo = kontejner),"0= brezplačno, 1=omejeno, 2= le proti plačilu",POGOJI:,ZBIRNI CENTER,NASLOV ZC,ODPIRALNI ČAS,POVEZAVA,DRUG OBRAT,NASLOV,ODPIRALNI ČAS 2,KAKO JE UREJENA ODDAJA AZBESTA?,CENA ODDAJE AZBESTA OPOMBE,OBČINSKO SOFINANCIRANJE
CIRKULANE,Čisto mesto Ptuj d.o.o.,"Zbirni center, naročilo",1,"Do 1m3 / leto brezplačno, če so ločeni gradbeni odpadki. ",CERO Gajke,"Dornavska cesta 26, 2250 Ptuj","1.4-31-10 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14",https://www.js-ptuj.si/odpadki/zbirni-center,n/a,n/a,n/a,V zbirni center.,Azbestne odpadke lahko po predhodnem dogovoru ustrezno pripravljene pripeljete v zbirni center.,NE
DESTRNIK,Čisto mesto Ptuj d.o.o.,"Zbirni center, naročilo",1,"Do 1m3 / leto brezplačno, če so ločeni gradbeni odpadki. ",CERO Gajke,"Dornavska cesta 26, 2250 Ptuj","1.4-31-10 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14",https://www.js-ptuj.si/odpadki/zbirni-center,n/a,n/a,n/a,V zbirni center.,Azbestne odpadke lahko po predhodnem dogovoru ustrezno pripravljene pripeljete v zbirni center.,NE
DUPLEK,Čisto mesto Ptuj d.o.o.,"Zbirni center, drugje, naročilo",1,"Do 1m3 / leto brezplačno, če so ločeni gradbeni odpadki. ",ZC Duplek,režijski obrat Duplek,"pon 13-16, sre 11-18, pet 10-17, sob 8-11",https://cistomesto.si/zbirni-centri/,CERO Gajke,"Dornavska cesta 26, 2250 Ptuj","1.4-31-10 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14",V zbirni center.,Azbestne odpadke lahko po predhodnem dogovoru ustrezno pripravljene pripeljete v zbirni center.,NE
KIDRIČEVO,Čisto mesto Ptuj d.o.o.,"Zbirni center, drugje, naročilo",1,"Do 1m3 / leto brezplačno, če so ločeni gradbeni odpadki. ",ZC Kidričevo,"Njiverce, cesta za Talum","poleti: tor, čet 10-18, sob 8-13; pozimi tor, čet: 9-17, sob 8-13",https://cistomesto.si/zbirni-centri/,CERO Gajke,"Dornavska cesta 26, 2250 Ptuj","1.4-31-10 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14",V zbirni center.,Azbestne odpadke lahko po predhodnem dogovoru ustrezno pripravljene pripeljete v zbirni center.,NE
MAJŠPERK,Čisto mesto Ptuj d.o.o.,"Zbirni center, drugje, naročilo",1,"Do 1m3 / leto brezplačno, če so ločeni gradbeni odpadki. ",ZC Majšperk,pri čistilni napravi Majšperk,"tor: 13-16, pet: 10-17, sob 8-11",https://cistomesto.si/zbirni-centri/,CERO Gajke,"Dornavska cesta 26, 2250 Ptuj","1.4-31-10 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14",V zbirni center.,Azbestne odpadke lahko po predhodnem dogovoru ustrezno pripravljene pripeljete v zbirni center.,NE
PODLEHNIK,Čisto mesto Ptuj d.o.o.,"Zbirni center, drugje, naročilo",1,"Do 1m3 / leto brezplačno, če so ločeni gradbeni odpadki. ",ZC Žetale,naselje Dobrina,"tor: 9-12, pet: 10-17, sob 12-15",https://cistomesto.si/zbirni-centri/,CERO Gajke,"Dornavska cesta 26, 2250 Ptuj","1.4-31-10 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14",V zbirni center.,Azbestne odpadke lahko po predhodnem dogovoru ustrezno pripravljene pripeljete v zbirni center.,NE
SVETI ANDRAŽ V SLOVENSKIH GORICAH,Čisto mesto Ptuj d.o.o.,"Zbirni center, drugje, naročilo",1,"Do 1m3 / leto brezplačno, če so ločeni gradbeni odpadki. ",ZC Trnovska vas,pri režijskem obratu Trnovska vas,"pon: 9-12, čet: 10-17, sob: 12-15",https://cistomesto.si/zbirni-centri/,CERO Gajke,"Dornavska cesta 26, 2250 Ptuj","1.4-31-10 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14",V zbirni center.,Azbestne odpadke lahko po predhodnem dogovoru ustrezno pripravljene pripeljete v zbirni center.,NE
TRNOVSKA VAS,Čisto mesto Ptuj d.o.o.,"Zbirni center, drugje, naročilo",1,"Do 1m3 / leto brezplačno, če so ločeni gradbeni odpadki. ",ZC Trnovska vas,pri režijskem obratu Trnovska vas,"pon: 9-12, čet: 10-17, sob: 12-15",https://cistomesto.si/zbirni-centri/,CERO Gajke,"Dornavska cesta 26, 2250 Ptuj","1.4-31-10 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14",V zbirni center.,Azbestne odpadke lahko po predhodnem dogovoru ustrezno pripravljene pripeljete v zbirni center.,NE
VIDEM,Čisto mesto Ptuj d.o.o.,"Zbirni center, drugje, naročilo",1,"Do 1m3 / leto brezplačno, če so ločeni gradbeni odpadki. ",ZC Videm,industrijska cona Videm,"pon 9-12, sre: 10-17, sob: 8-11",https://cistomesto.si/zbirni-centri/,CERO Gajke,"Dornavska cesta 26, 2250 Ptuj","1.4-31-10 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14",V zbirni center.,Azbestne odpadke lahko po predhodnem dogovoru ustrezno pripravljene pripeljete v zbirni center.,NE
ZAVRČ,Čisto mesto Ptuj d.o.o.,"Zbirni center, naročilo",1,"Do 1m3 / leto brezplačno, če so ločeni gradbeni odpadki. ",CERO Gajke,"Dornavska cesta 26, 2250 Ptuj","1.4-31-10 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14",https://www.js-ptuj.si/odpadki/zbirni-center,n/a,n/a,n/a,V zbirni center.,Azbestne odpadke lahko po predhodnem dogovoru ustrezno pripravljene pripeljete v zbirni center.,NE
