"ŽIRI","Avtoprevozništvo Martin Frelih s.p."
"JURŠINCI","Čisto mesto Ptuj d.o.o."
"KIDRIČEVO","Čisto mesto Ptuj d.o.o."
"MAJŠPERK","Čisto mesto Ptuj d.o.o."
"MARKOVCI","Čisto mesto Ptuj d.o.o."
"PODLEHNIK","Čisto mesto Ptuj d.o.o."
"PTUJ","Čisto mesto Ptuj d.o.o."
"SVETI ANDRAŽ V SLOVENSKIH GORICAH","Čisto mesto Ptuj d.o.o."
"TRNOVSKA VAS","Čisto mesto Ptuj d.o.o."
"VIDEM","Čisto mesto Ptuj d.o.o."
"ZAVRČ","Čisto mesto Ptuj d.o.o."
"ŽETALE","Čisto mesto Ptuj d.o.o."
"CIRKULANE","Čisto mesto Ptuj d.o.o."
"DESTRNIK","Čisto mesto Ptuj d.o.o."
"DORNAVA","Čisto mesto Ptuj d.o.o."
"DUPLEK","Čisto mesto Ptuj d.o.o."
"GORIŠNICA","Čisto mesto Ptuj d.o.o."
"HAJDINA","Čisto mesto Ptuj d.o.o."
"GORJE","Infrastruktura Bled d.o.o."
"BLED","Infrastruktura Bled d.o.o."
"DRAVOGRAD","Javno komunalno podjetje Dravograd d.o.o."
"DOMŽALE","Javno komunalno podjetje Prodnik d.o.o."
"LUKOVICA","Javno komunalno podjetje Prodnik d.o.o."
"MENGEŠ","Javno komunalno podjetje Prodnik d.o.o."
"MORAVČE","Javno komunalno podjetje Prodnik d.o.o."
"TRZIN","Javno komunalno podjetje Prodnik d.o.o."
"IZOLA","Javno Podjetje Komunala Izola d.o.o"
"TRBOVLJE","Javno podjetje Komunala Trbovlje, d.o.o."
"LOG - DRAGOMER","JP Komunalno podjetje Vrhnika, d.o.o."
"VRHNIKA","JP Komunalno podjetje Vrhnika, d.o.o."
"BISTRICA OB SOTLI","Javno podjetje za komunalne storitve Rogaška Slatina d.o.o."
"KOZJE","Javno podjetje za komunalne storitve Rogaška Slatina d.o.o."
"PODČETRTEK","Javno podjetje za komunalne storitve Rogaška Slatina d.o.o."
"ROGAŠKA SLATINA","Javno podjetje za komunalne storitve Rogaška Slatina d.o.o."
"ROGATEC","Javno podjetje za komunalne storitve Rogaška Slatina d.o.o."
"ŠMARJE PRI JELŠAH","Javno podjetje za komunalne storitve Rogaška Slatina d.o.o."
"DOBREPOLJE","Javno komunalno podjetje Grosuplje d.o.o."
"GROSUPLJE","Javno komunalno podjetje Grosuplje d.o.o."
"IVANČNA GORICA","Javno komunalno podjetje Grosuplje d.o.o."
"JESENICE","JKP JEKO-IN d.o.o."
"ŽIROVNICA","JKP JEKO-IN d.o.o."
"LOŠKI POTOK","JKP Komunala Ribnica d.o.o."
"RIBNICA","JKP Komunala Ribnica d.o.o."
"SODRAŽICA","JKP Komunala Ribnica d.o.o."
"ČRNA NA KOROŠKEM","JKP Log, d.o.o."
"MEŽICA","JKP Log, d.o.o."
"PREVALJE","JKP Log, d.o.o."
"RAVNE NA KOROŠKEM","JKP Log, d.o.o."
"LOGATEC","JKP Logatec d.o.o."
"MUTA","JKP Radlje ob Dravi d.o.o."
"PODVELKA","JKP Radlje ob Dravi d.o.o."
"RADLJE OB DRAVI","JKP Radlje ob Dravi d.o.o."
"RIBNICA NA POHORJU","JKP Radlje ob Dravi d.o.o."
"VUZENICA","JKP Radlje ob Dravi d.o.o."
"MISLINJA","JKP Slovenj Gradec d.o.o."
"SLOVENJ GRADEC","JKP Slovenj Gradec d.o.o."
"SLOVENSKE KONJICE","Javno komunalno podjetje d.o.o. Slovenske Konjice"
"ZREČE","Saubermacher Slovenija d.o.o."
"BLOKE","JP Komunala Cerknica d.o.o. "
"CERKNICA","JP Komunala Cerknica d.o.o. "
"LOŠKA DOLINA","JP Komunala Cerknica d.o.o. "
"ČRNOMELJ","JP Komunala Črnomelj d.o.o."
"SEMIČ","JP Komunala Črnomelj d.o.o."
"LAŠKO","JP Komunala Laško d.o.o."
"RADEČE","JP Komunala Radeče d.o.o."
"BOROVNICA","JP Komunalno podjetje Vrhnika, d.o.o."
"PIRAN","JP Okolje Piran d.o.o."
"MOZIRJE","JPK d.o.o. Mozirje"
"REČICA OB SAVINJI","JPK d.o.o. Mozirje"
"METLIKA","Komunala Metlika d.o.o."
"LITIJA","JPKSP Litija d.o.o."
"ŠMARTNO PRI LITIJI","JPKSP Litija d.o.o."
"LENDAVA","EKO-PARK d.o.o. Lendava"
"SEVNICA","Komunala d.o.o. Sevnica"
"CERKNO","Komunala d.o.o., Idrija"
"IDRIJA","Komunala d.o.o., Idrija"
"KOČEVJE","Komunala Kočevje, d.o.o."
"KOSTEL","Komunala Kočevje, d.o.o."
"ANKARAN","Komunala Koper d.o.o."
"KOPER","Komunala Koper d.o.o."
"JEZERSKO","Komunala Kranj, Javno podjetje d.o.o."
"KRANJ","Komunala Kranj, Javno podjetje d.o.o."
"NAKLO","Komunala Kranj, Javno podjetje d.o.o."
"PREDDVOR","Komunala Kranj, Javno podjetje d.o.o."
"ŠENČUR","Komunala Kranj, Javno podjetje d.o.o."
"CERKLJE NA GORENJSKEM","Snaga d.o.o. Ljubljana"
"KRANJSKA GORA","Komunala Kranjska Gora, d.o.o."
"BRDA","Komunala Nova Gorica d.d."
"KANAL OB SOČI","Komunala Nova Gorica d.d."
"MIREN - KOSTANJEVICA","Komunala Nova Gorica d.d."
"NOVA GORICA","Komunala Nova Gorica d.d."
"RENČE - VOGRSKO","Komunala Nova Gorica d.d."
"ŠEMPETER - VRTOJBA","Komunala Nova Gorica d.d."
"DOLENJSKE TOPLICE","Komunala Novo mesto d.o.o."
"MIRNA","Komunala Novo mesto d.o.o."
"MIRNA PEČ","Komunala Novo mesto d.o.o."
"NOVO MESTO","Komunala Novo mesto d.o.o."
"ŠENTJERNEJ","Komunala Novo mesto d.o.o."
"ŠKOCJAN","Komunala Novo mesto d.o.o."
"ŠMARJEŠKE TOPLICE","Komunala Novo mesto d.o.o."
"STRAŽA","Komunala Novo mesto d.o.o."
"ŽUŽEMBERK","Komunala Novo mesto d.o.o."
"RADOVLJICA","Komunala Radovljica d.o.o."
"MAKOLE","Komunala Slovenska Bistrica d.o.o."
"OPLOTNICA","Komunala Slovenska Bistrica d.o.o."
"OSILNICA","Komunala Slovenska Bistrica d.o.o."
"POLJČANE","Komunala Slovenska Bistrica d.o.o."
"SLOVENSKA BISTRICA","Komunala Slovenska Bistrica d.o.o."
"BOVEC","Komunala Tolmin d.o.o."
"KOBARID","Komunala Tolmin d.o.o."
"TOLMIN","Komunala Tolmin d.o.o."
"MOKRONOG - TREBELNO","Komunala Trebnje d.o.o."
"ŠENTRUPERT","Komunala Trebnje d.o.o."
"TREBNJE","Komunala Trebnje d.o.o."
"VITANJE","Komunala Vitanje",1
"ZAGORJE OB SAVI","Komunala Zagorje d.o.o."
"ORMOŽ","Komunalno podjetje Ormož d.o.o."
"SREDIŠČE OB DRAVI","Komunalno podjetje Ormož d.o.o."
"AJDOVŠČINA","Komunalno stanovanjska družba d.o.o. Ajdovščina"
"VIPAVA","Komunalno stanovanjska družba d.o.o. Ajdovščina"
"BREŽICE","Komunala Brežice d.o.o."
"ILIRSKA BISTRICA","KP Ilirska Bistrica"
"TRŽIČ","KP Tržič d.o.o."
"DIVAČA","KSP d.d. Sežana",1
"HRPELJE - KOZINA","KSP d.d. Sežana",1
"KOMEN","KSP d.d. Sežana",1
"SEŽANA","KSP d.d. Sežana",1
"HRASTNIK","KSP Hrastnik, d.d."
"KOSTANJEVICA NA KRKI","KSP KOSTAK d.d."
"KRŠKO","KSP KOSTAK d.d."
"KRIŽEVCI","KSP Ljutomer d.o.o."
"LJUTOMER","KSP Ljutomer d.o.o."
"RAZKRIŽJE","KSP Ljutomer d.o.o."
"VERŽEJ","KSP Ljutomer d.o.o."
"ŠKOFJA LOKA","Loška komunala, d.d. Škofja Loka"
"ŽELEZNIKI","Loška komunala, d.d. Škofja Loka"
"SVETI TOMAŽ","Komunalno podjetje Ormož d.o.o."
"KAMNIK","PUBLICUS d.o.o."
"KOMENDA","PUBLICUS d.o.o."
"PIVKA","PUBLICUS d.o.o."
"POSTOJNA","PUBLICUS d.o.o."
"GORNJI GRAD","PUP Saubermacher Velenje d.d."
"LJUBNO","PUP Saubermacher Velenje d.d."
"LUČE","PUP Saubermacher Velenje d.d."
"NAZARJE","PUP Saubermacher Velenje d.d."
"ŠMARTNO OB PAKI","PUP Saubermacher Velenje d.d."
"SOLČAVA","PUP Saubermacher Velenje d.d."
"ŠOŠTANJ","PUP Saubermacher Velenje d.d."
"VELENJE","PUP Saubermacher Velenje d.d."
"BOHINJ","Režijski obrat Občine Bohinj"
"GORENJA VAS - POLJANE","Režijski obrat Občine Gorenja vas-Poljane"
"BELTINCI","Saubermacher - Komunala Murska Sobota d.o.o."
"CANKOVA","Saubermacher - Komunala Murska Sobota d.o.o."
"GORNJI PETROVCI","Saubermacher - Komunala Murska Sobota d.o.o."
"GRAD","Saubermacher - Komunala Murska Sobota d.o.o."
"HODOŠ","Saubermacher - Komunala Murska Sobota d.o.o."
"KUZMA","Saubermacher - Komunala Murska Sobota d.o.o."
"MORAVSKE TOPLICE","Saubermacher - Komunala Murska Sobota d.o.o."
"MURSKA SOBOTA","Saubermacher - Komunala Murska Sobota d.o.o."
"PUCONCI","Saubermacher - Komunala Murska Sobota d.o.o."
"ROGAŠOVCI","Saubermacher - Komunala Murska Sobota d.o.o."
"ŠALOVCI","Saubermacher - Komunala Murska Sobota d.o.o."
"TIŠINA","Saubermacher - Komunala Murska Sobota d.o.o."
"SVETI JURIJ OB ŠČAVNICI","Saubermacher Slovenija d.o.o."
"APAČE","Saubermacher Slovenija d.o.o."
"BENEDIKT","Saubermacher Slovenija d.o.o."
"CERKVENJAK","Saubermacher Slovenija d.o.o."
"GORNJA RADGONA","Saubermacher Slovenija d.o.o."
"LENART","Saubermacher Slovenija d.o.o."
"ŠENTILJ","Saubermacher Slovenija d.o.o."
"SVETA ANA","Saubermacher Slovenija d.o.o."
"SVETA TROJICA V SLOVENSKIH GORICAH","Saubermacher Slovenija d.o.o."
"SVETI JURIJ V SLOVENSKIH GORICAH","Saubermacher Slovenija d.o.o."
"ČRENŠOVCI","Saubermacher&Komunala"
"DOBROVNIK","Saubermacher&Komunala"
"KOBILJE","Saubermacher&Komunala"
"ODRANCI","Saubermacher&Komunala"
"RADENCI","Saubermacher&Komunala"
"TURNIŠČE","Saubermacher&Komunala"
"VELIKA POLANA","Saubermacher&Komunala"
"BRASLOVČE","Simbio, d.o.o, družba za ravnanje z odpadki"
"DOBRNA","Simbio, d.o.o, družba za ravnanje z odpadki"
"DOBJE","Simbio, d.o.o, družba za ravnanje z odpadki"
"CELJE","Simbio, d.o.o, družba za ravnanje z odpadki"
"POLZELA","Simbio, d.o.o, družba za ravnanje z odpadki"
"PREBOLD","Simbio, d.o.o, družba za ravnanje z odpadki"
"ŠENTJUR","Simbio, d.o.o, družba za ravnanje z odpadki"
"ŠTORE","Simbio, d.o.o, družba za ravnanje z odpadki"
"TABOR","Simbio, d.o.o, družba za ravnanje z odpadki"
"VOJNIK","Simbio, d.o.o, družba za ravnanje z odpadki"
"VRANSKO","Simbio, d.o.o, družba za ravnanje z odpadki"
"ŽALEC","Simbio, d.o.o, družba za ravnanje z odpadki"
"IG","Snaga d.o.o. Ljubljana"
"LJUBLJANA","Snaga d.o.o. Ljubljana"
"MEDVODE","Snaga d.o.o. Ljubljana"
"ŠKOFLJICA","Snaga d.o.o. Ljubljana"
"VELIKE LAŠČE","Snaga d.o.o. Ljubljana"
"VODICE","Snaga d.o.o. Ljubljana"
"BREZOVICA","Snaga d.o.o. Ljubljana"
"DOBROVA - POLHOV GRADEC","Snaga d.o.o. Ljubljana"
"DOL PRI LJUBLJANI","Snaga d.o.o. Ljubljana"
"HORJUL","Snaga d.o.o. Ljubljana"
"HOČE - SLIVNICA","Snaga d.o.o. Maribor"
"KUNGOTA","Snaga d.o.o. Maribor"
"LOVRENC NA POHORJU","Snaga d.o.o. Maribor"
"MARIBOR","Snaga d.o.o. Maribor"
"MIKLAVŽ NA DRAVSKEM POLJU","Snaga d.o.o. Maribor"
"PESNICA","Snaga d.o.o. Maribor"
"RAČE - FRAM","Snaga d.o.o. Maribor"
"RUŠE","Snaga d.o.o. Maribor"
"SELNICA OB DRAVI","Snaga d.o.o. Maribor"
"STARŠE","Snaga d.o.o. Maribor"
