"OBČINA","KOMUNALA","NAČIN ZBIRANJA (zbirni center ALI naročilo ALI akcije)","(0 = neomejeno, 1 = omejeno brezplačno, 2 = samo proti plačilu)","POGOJI ZA BREZPLAČNO ODDAJO","ZBIRNI CENTER","NASLOV ZC","ODPIRALNI ČAS","POVEZAVA",,"ig+vodice,"
"CIRKULANE","Čisto mesto Ptuj d.o.o.","akcija, naročilo",0,"Občani, ki so vključeni v odvoz odpadkov in se identificirajo z zadnjim odrezkom položnice.","CERO Gajke","Dornavska cesta 26, 2250 Ptuj","1.4-31-10 pon - pet 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14","https://www.js-ptuj.si/odpadki/zbirni-center",,
"DESTRNIK","Čisto mesto Ptuj d.o.o.","akcija, naročilo",0,"Občani, ki so vključeni v odvoz odpadkov in se identificirajo z zadnjim odrezkom položnice.","CERO Gajke","Dornavska cesta 26, 2250 Ptuj","1.4-31-10 pon - pet 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14","https://www.js-ptuj.si/odpadki/zbirni-center",,
"DUPLEK","Čisto mesto Ptuj d.o.o.","Zbirni center, akcija",0,"Občani, ki so vključeni v odvoz odpadkov in se identificirajo z zadnjim odrezkom položnice.","ZC Duplek","režijski obrat Duplek","pon 13-16, sre 11-18, pet 10-17, sob 8-11","http://cistomesto.si/images/documents/Urniki/cisto-mesto-urnik-duplek-1-2018.pdf",,
"KIDRIČEVO","Čisto mesto Ptuj d.o.o.","Zbirni center, naročilo, akcija",0,"Občani, ki so vključeni v odvoz odpadkov in se identificirajo z zadnjim odrezkom položnice.","ZC Kidričevo","Njiverce, cesta za Talum","poleti: tor, čet 10-18, sob 8-13; pozimi tor, čet: 9-17, sob 8-13","http://cistomesto.si/images/documents/Urniki/cisto-mesto-urnik-duplek-1-2018.pdf",,
"MAJŠPERK","Čisto mesto Ptuj d.o.o.","Zbirni center, naročilo, akcija",0,"Občani, ki so vključeni v odvoz odpadkov in se identificirajo z zadnjim odrezkom položnice.","ZC Majšperk","pri čistilni napravi Majšperk","tor: 13-16, pet: 10-17, sob 8-11","http://cistomesto.si/images/documents/Urniki/cisto-mesto-urnik-majsperk-2018.pdf",,
"PODLEHNIK","Čisto mesto Ptuj d.o.o.","zbirni center, akcija, naročilo",0,"Občani, ki so vključeni v odvoz odpadkov in se identificirajo z zadnjim odrezkom položnice.","ZC Žetale","naselje Dobrina","tor: 9-12, pet: 10-17, sob 12-15","https://www.podlehnik.si/files/other/news/178/117625ZBIRNI%20CENTRI.pdf",,
"SVETI ANDRAŽ V SLOVENSKIH GORICAH","Čisto mesto Ptuj d.o.o.","Zbirni center, naročilo, akcija",0,"Občani, ki so vključeni v odvoz odpadkov in se identificirajo z zadnjim odrezkom položnice.","ZC Trnovska vas","pri režijskem obratu Trnovska vas","pon: 9-12, čet: 10-17, sob: 12-15","https://www.sv-andraz.si/post/7438",,
"TRNOVSKA VAS","Čisto mesto Ptuj d.o.o.","Zbirni center, naročilo, akcija",0,"Občani, ki so vključeni v odvoz odpadkov in se identificirajo z zadnjim odrezkom položnice.","ZC Trnovska vas","pri režijskem obratu Trnovska vas","pon: 9-12, čet: 10-17, sob: 12-15","http://cistomesto.si/images/documents/Urniki/cisto-mesto-urniki-trnovska-vas-2018.pdf",,
"VIDEM","Čisto mesto Ptuj d.o.o.","Zbirni center, naročilo, akcija",0,"Občani, ki so vključeni v odvoz odpadkov in se identificirajo z zadnjim odrezkom položnice.","ZC Videm","industrijska cona Videm","pon 9-12, sre: 10-17, sob: 8-11","http://cistomesto.si/images/documents/Urniki/cisto-mesto-urnik-videm-2018.pdf",,
"ZAVRČ","Čisto mesto Ptuj d.o.o.","zbirni center, akcija, naročilo",0,"Občani, ki so vključeni v odvoz odpadkov in se identificirajo z zadnjim odrezkom položnice.","CERO Gajke","Dornavska cesta 26, 2250 Ptuj","1.4-31-10 pon - pet 8-20, sob 8-14; 1.11-31.3 pon-pet 8-17, sob 8-14","https://www.js-ptuj.si/odpadki/zbirni-center",,
