"KSP HRASTNIK, d.d.","Nives Venko, 03 56 42 312 nives.venko@ksp-hrastnik.si",,ne,za,"Obrnite se na Občino Hrastnik",da,da,"glede na število članov gospodinjstva","z zloženkami",zabojniki,ne,"
Papir + karton = zelena posoda z rdečim pokrovom
Plastenke, pločevinke, tetrapaki = zelena posoda z rumenim pokrovom
Steko = zelena posoda z zelenim ali belim pokrovom
Baterije = črna posoda s črnim pokrovom
posebni rumeni zabojniki za oblačila, obutev in posteljnino",-," o1:8 o2:6 o3:3 o4:5 o5:4 o6:0 o7:6 o8:6 o9:6 o10:6 o11:5 o12:8 o13:5 o14:1 o15:5 o16:1 o17:5 o18:8 o19:5 o20:1 o21:3 o22:3 o23:1 o24:8 o25:6 o26:8 o27:0 o28:5 o29:8 o30:0 o31:2 o32:6 o33:5 o34:5 o35:8 o36:8 o37:5 o38:8 o39:5 o40:8 o41:2 o42:3 o43:1 o44:1 o45:2 o46:1 o47:3 o48:8 o49:8 o50:6 o51:6 o52:1 o53:1 o54:1 o55:2 o56:0 o57:2 o58:1 o59:6 o60:5 o61:5 o62:5 o63:1 o64:6 o65:5 o66:3 o67:7 o68:2 o69:5 o70:3 o71:6 o72:5 o73:5 o74:8 o75:3 o76:3 o77:8 o78:8 o79:5 o80:3 o81:3 o82:5 o83:5 o84:1 o85:5 o86:5 o87:1 o88:5 o89:5 o90:5 o91:6 o92:5 o93:5 o94:5 o95:5 o96:3 o97:2 o98:2 o99:2 o100:2 o101:6 o102:5 o103:4 o104:5 o105:8 o106:4 o107:2 o108:5 o109:8 o110:8 o111:8 o112:1 o113:1 o114:3 o115:3 o116:6 o117:0 o118:0 o119:0 o120:0 o121:5 o122:8 o123:6 o124:5 o125:5 o126:2 o127:5 o128:8 o129:8 o130:6 o131:2 o132:3 o133:5 o134:5 o135:5 o136:3 o137:5 o138:5 o139:3 o140:3 o141:6 o142:5 o143:1 o144:3 o145:5 o146:5 o147:5 o148:5 o149:6 o150:8 o151:8 o152:8 o153:6 o154:5 o155:5"
"JKP Logatec d.o.o.","janez.marinko@kp-logatec.si  01/7508114",,ne,za,"Janez Marinko",da,da,"glede na število članov gospodinjstva",drugo,ne,da,"odpadki primerni za kompostiranje-zelena barva, embalaža-modra in rumena barva, steklo-bela barva, mešani komunalni odpadki-temno siva barva, papir-kovinski zvonovi zelene ali srebrne barve","ozaveščanje: pri mesečnih položnicah pošiljamo razna obvestila, nekaj pa tudi z zloženkami oz. brošurami"," o1:8 o2:2 o3:3 o4:2 o5:2 o6:0 o7:8 o8:8 o9:8 o10:8 o11:2 o12:3 o13:8 o14:1 o15:2 o16:1 o17:5 o18:8 o19:2 o20:1 o21:3 o22:3 o23:1 o24:5 o25:8 o26:8 o27:0 o28:5 o29:8 o30:0 o31:2 o32:8 o33:5 o34:5 o35:5 o36:8 o37:5 o38:8 o39:5 o40:8 o41:2 o42:3 o43:1 o44:1 o45:2 o46:1 o47:2 o48:5 o49:5 o50:8 o51:8 o52:1 o53:1 o54:1 o55:2 o56:0 o57:2 o58:1 o59:8 o60:5 o61:5 o62:5 o63:1 o64:8 o65:5 o66:3 o67:8 o68:2 o69:5 o70:3 o71:8 o72:5 o73:5 o74:5 o75:3 o76:3 o77:5 o78:8 o79:5 o80:3 o81:3 o82:2 o83:2 o84:1 o85:5 o86:5 o87:1 o88:3 o89:3 o90:3 o91:8 o92:5 o93:5 o94:5 o95:5 o96:3 o97:2 o98:5 o99:2 o100:2 o101:2 o102:5 o103:2 o104:5 o105:8 o106:2 o107:2 o108:5 o109:3 o110:8 o111:8 o112:1 o113:1 o114:3 o115:3 o116:5 o117:0 o118:0 o119:0 o120:5 o121:8 o122:5 o123:2 o124:5 o125:5 o126:2 o127:5 o128:8 o129:8 o130:8 o131:2 o132:3 o133:5 o134:5 o135:5 o136:3 o137:5 o138:5 o139:3 o140:3 o141:8 o142:5 o143:0 o144:3 o145:8 o146:8 o147:5 o148:5 o149:8 o150:8 o151:8 o152:8 o153:5 o154:5 o155:2"
"KOMUNALA Kočevje, d.o.o.","Saša KLJUN, sasa.kljun@komunala-kocevje.si, 031 867 123","dovoz gospodinjskih kosovnih odpadkov na zbirne točke, izrabljanje akcije za odstranjevanje nekomunalnih odpadkov (avtomobilskih delov, predvsem odbijačev), prebiranje in odvoz vrednih sekundarnih surovin (kovine s strani Romov), pojav neevidentiranih zbirnih točk izven sistema",da,za,"Saša KLJUN, sasa.kljun@komunala-kocevje.si, 031 867 123",ne,da,"glede na število članov gospodinjstva",drugo,"zbirni center",ne,"- embalaža (rumena barva pokrova v sistemu od vrat do vrat pri gospodinjstvih oziroma celotne posode pri blokih) - rumena kanta;
- papir (cel zabojnik modre barve) - modra kanta;
- steklo (cel zabojnik zelene barve);
- bio odpadki (rjava posoda z rdečim pokrovom) - rdeča kanta","Za ozaveščanje občanov nekaj krat letno v položnico vstavimo natančna navodila za sortiranje odpadkov, objavljena so tudi na naši spletni strani. Svetujemo po telefonu ali osebno, občasno pa pripravimo prispevek na lokalnem radiu ali v lokalnem časopisu."," o1:8 o2:6 o3:3 o4:2 o5:2 o6:0 o7:6 o8:6 o9:6 o10:6 o11:2 o12:3 o13:7 o14:1 o15:5 o16:1 o17:5 o18:8 o19:2 o20:1 o21:3 o22:3 o23:1 o24:8 o25:6 o26:8 o27:0 o28:5 o29:8 o30:0 o31:2 o32:8 o33:2 o34:5 o35:5 o36:8 o37:8 o38:8 o39:5 o40:6 o41:2 o42:3 o43:1 o44:1 o45:2 o46:1 o47:3 o48:8 o49:8 o50:6 o51:6 o52:1 o53:1 o54:1 o55:2 o56:0 o57:2 o58:1 o59:6 o60:5 o61:5 o62:5 o63:1 o64:8 o65:7 o66:3 o67:8 o68:2 o69:5 o70:3 o71:6 o72:8 o73:8 o74:8 o75:3 o76:3 o77:8 o78:7 o79:5 o80:3 o81:3 o82:1 o83:2 o84:1 o85:2 o86:5 o87:1 o88:3 o89:3 o90:5 o91:6 o92:5 o93:5 o94:5 o95:5 o96:3 o97:2 o98:2 o99:2 o100:2 o101:6 o102:5 o103:2 o104:3 o105:8 o106:2 o107:2 o108:4 o109:3 o110:8 o111:8 o112:1 o113:1 o114:3 o115:3 o116:5 o117:0 o118:0 o119:0 o120:8 o121:8 o122:8 o123:6 o124:5 o125:8 o126:2 o127:5 o128:8 o129:8 o130:6 o131:2 o132:3 o133:5 o134:5 o135:5 o136:3 o137:5 o138:8 o139:3 o140:3 o141:6 o142:5 o143:1 o144:3 o145:5 o146:8 o147:5 o148:5 o149:6 o150:8 o151:8 o152:8 o153:6 o154:6 o155:4"
"Komunala d.o.o., Idrija","Marko Leoni, marko.leoni@komunalaidrija.si, 051 440 498","Ločevanje odpadkov na terenu, izkoriščanje akcije s strani nekaterih občanov in podjetnikov za čiščenje lastnih odpadkov - gume, azbest kritina, nevarni odpadki....
Akcija je lahko terminsko problematična ( marec ) zaradi možnosti snežne odeje v geografsko višjih predelih Slovenije, kjer je pa roko na srce še najmanj tovrstnih odpadkov oz. se jih je očistilo v prejšnji akciji. Naj že enkrat pristojni kaj ukrepajo pred onesnaževalci, kajti tu je srž problema in seveda na splošno do kulture nekaterih ' Slovencev', ki so velikokrat 'okolječuvajniki' do izhoda iz svojega vrtička. In koliko časa bomo nekateri še pripravljeni čistiti za drugimi, ki se nam lahko tako samo smejijo saj se jim tako ali tako nič ne zgodi.",ne,za,"Marko Leoni, marko.leoni@komunalaidrija.si, 051 440 498",ne,da,"glede na število članov gospodinjstva","v lokalnem časopisu z vsebinskimi prispevki","zbirni center",da,"Papir in kartonska embalaža - RDEČ POKROV, Steklena embalaža - BEL POKROV, Plastična in kovinska embalaža - RUMEN POKROV","Ozaveščanje : poteka na vse možne načine v vrtcih, OŠ, Gimnazija,v obliki naših predavanj in obiskov otrok v ZC, z oglasi na lokalnem radiu, z letaki in praktičnimi predmeti ( lončki ) z navodili. V aprilu organiziramo občinski EKO teden s predavanji, čistilno akcijo, pohodi in velikim dogodkom s spremljevalnimi prireditvami na Mestnem trgu. V spodnji tabeli prime samo ena potrditev, načeloma pa je tako,verjetno ste tako tudi misliliin velja za vse komunale - Vse vrste gospodinjskih odpadkov se lahko odda v Zbirnih centrih, ker so ti temu namenjeni. Določene ločeno zbrane frakcije pa se oddaja na EKO otokih in ob napovedanih akcijah zbiranja nevarnih odpadkov in zbiranja kosovnih odapdkov, kar pač tam seveda spada."," o1:8 o2:6 o3:3 o4:2 o5:2 o6:0 o7:6 o8:6 o9:6 o10:6 o11:2 o12:8 o13:8 o14:1 o15:2 o16:1 o17:5 o18:5 o19:2 o20:1 o21:3 o22:3 o23:1 o24:8 o25:6 o26:5 o27:0 o28:5 o29:6 o30:0 o31:2 o32:6 o33:2 o34:5 o35:5 o36:8 o37:7 o38:8 o39:5 o40:6 o41:2 o42:3 o43:1 o44:1 o45:2 o46:1 o47:3 o48:5 o49:8 o50:6 o51:6 o52:1 o53:1 o54:1 o55:2 o56:0 o57:2 o58:1 o59:6 o60:5 o61:3 o62:5 o63:1 o64:6 o65:7 o66:3 o67:6 o68:2 o69:5 o70:5 o71:6 o72:8 o73:8 o74:8 o75:3 o76:3 o77:8 o78:8 o79:8 o80:3 o81:3 o82:2 o83:5 o84:1 o85:2 o86:2 o87:1 o88:1 o89:3 o90:8 o91:6 o92:5 o93:5 o94:5 o95:5 o96:3 o97:2 o98:7 o99:2 o100:2 o101:6 o102:5 o103:2 o104:2 o105:8 o106:2 o107:2 o108:7 o109:3 o110:6 o111:6 o112:1 o113:1 o114:3 o115:3 o116:6 o117:0 o118:0 o119:0 o120:8 o121:2 o122:8 o123:1 o124:8 o125:8 o126:2 o127:8 o128:6 o129:6 o130:6 o131:2 o132:3 o133:5 o134:5 o135:5 o136:8 o137:5 o138:8 o139:3 o140:3 o141:6 o142:5 o143:1 o144:3 o145:6 o146:6 o147:5 o148:5 o149:6 o150:6 o151:6 o152:7 o153:6 o154:6 o155:8"
"LOŠKA KOMUNALA, d.d. Škofja Loka","Janez Štalec, janez.stalec@loska-komunala.si  04/50 23 531","Večinoma so bili vsi odpadki na istem kupu! Cigani so pokradli vse kaj vredne odpadne surovine na zbirnih mestih!! Nekateri so akcijo izkoristili za pospravljenje podstrešij, garaž, kleti in dvorišč!! Nekateri, tako iz gospodinjstev in iz dejavnosti so na zbirana mesta od doma dovažali odpadke še par dni po akciji. Kolikor časa se bo v Sloveniji z odpadki lahko ukvarjal vsak, kdor ma cajt, ne bo dosti drugače - pod nadzorom smo samo registrirana in usposobljena podjetja!!! Vse sile napeti na nadzor nad izvajanjem akcije: lokalna in državna inšpekcija, komunalni redarji, policija itd.",ne,za,"Janez Štalec","odvisno od količine",da,"po volumnu mešanega preostanka odpadkov","v lokalnem časopisu z vsebinskimi prispevki","zbirni center",da,"Na zbiranicah imamo rdeče zabojnike za papir in papirno embalažo, zelene zabojnike za stekleno embalažo, modre zabojnike za kovinsko embalažo in rumene zabojnike za plastično embalažo.
V zbirnem centru povzročitelji odpadkov lahko oddajo vse vrste odpadkov, razen ostanka odpadkov.","Pri odgovorih za obveščanje in ozaveščanje imate na voljo samo 1 odgovor. Mi izvajamo na več različnih načinov tako, da je pravilnih več odgovorov in tudi 'drugo'.
Pri spodnjih odgovorih bi bila pri nekaterih odpadkih možna 2 odgovora, vendar aplikacija tega ne omogoča! Npr. vse vrste nevarnih odpadkov lahko oddajo na akciji zbiranja in v zbirnem centru, elektroniko lahko oddajo kot kosovni odpadek ali pripeljejo v zbirni center itd.
Koliko časa bomo uporabljali še naziv 'mešani komunalni odpadki' - to ljudi zavaja, to je vse v isti kanti! Ali ne bi bilo bolje, da bi odpadke, ki jih ni mogoče razvrstiti v katero od ločenih frakcij za obdelavo, predelavo, reciklažo ali uničenje, imenovali 'ostanek odpadkov'"," o1:8 o2:2 o3:3 o4:2 o5:2 o6:0 o7:6 o8:6 o9:6 o10:6 o11:6 o12:3 o13:5 o14:1 o15:5 o16:1 o17:5 o18:5 o19:2 o20:1 o21:3 o22:3 o23:1 o24:8 o25:6 o26:5 o27:0 o28:5 o29:8 o30:0 o31:2 o32:8 o33:5 o34:5 o35:5 o36:8 o37:5 o38:5 o39:5 o40:8 o41:2 o42:3 o43:1 o44:1 o45:2 o46:1 o47:3 o48:5 o49:5 o50:6 o51:6 o52:1 o53:1 o54:1 o55:2 o56:0 o57:2 o58:1 o59:6 o60:5 o61:5 o62:5 o63:1 o64:6 o65:5 o66:3 o67:8 o68:2 o69:5 o70:5 o71:6 o72:5 o73:8 o74:8 o75:3 o76:3 o77:5 o78:4 o79:5 o80:3 o81:3 o82:1 o83:2 o84:1 o85:5 o86:5 o87:1 o88:3 o89:3 o90:5 o91:6 o92:5 o93:5 o94:5 o95:5 o96:3 o97:2 o98:2 o99:2 o100:2 o101:2 o102:5 o103:2 o104:3 o105:8 o106:2 o107:2 o108:4 o109:3 o110:8 o111:8 o112:1 o113:1 o114:3 o115:3 o116:5 o117:0 o118:0 o119:0 o120:5 o121:8 o122:5 o123:1 o124:5 o125:5 o126:2 o127:5 o128:8 o129:8 o130:6 o131:2 o132:3 o133:5 o134:5 o135:5 o136:3 o137:5 o138:8 o139:3 o140:3 o141:6 o142:5 o143:1 o144:3 o145:5 o146:8 o147:5 o148:5 o149:6 o150:6 o151:6 o152:5 o153:6 o154:5 o155:4"
"JAVNO KOMUNALNO PODJETJE DRAVOGRAD d.o.o.",irena.petelin@jkp-dravograd.si,"z lokacijami zbiranja odpadkov in dolgotrajnim odvozom - še 14 dni po končani akcijoi, ker so ljudje še kar naprej odlagali odpadke. Žal so ljudje vzeli to akcijo kot akcijo kosovnih odpadkov iz gospodinjstev, čeprav smo en mesec prej tako akcijo izvedli z namenom, da se ob vsesplošni akciji izognemo kosovnih odpadkov iz gospodinjstev. Pri obveščanju je potrebno velik poudarek nameniti temu, da ljudem dopovemo, da ta akcija ni namenjena čiščenju njihovih domov. To tudi daje odgovor na naslednje vprašanje, ker pri nas ni veliko zaleglo ali pa tudi?? Če prej ne bi bilo te akcije, bi bilo pač več odpadkov.",da,za,"DARKO FERK, darko.ferk@jkp-dravograd.si","odvisno od količine",da,"glede na število članov gospodinjstva","z lastnim glasilom, publikacijo","zbirni center",da,"EKO OTOKI:  papir in papirnata embalaža: Papir, rdeč pokrov na  zabojniku; plastika in kovina rumen pokrov, steklo zelen pokrov
Odvoz iz gospodinjstev: SUHI ODPADKI( čist papir, plastika, steklo, kovine), MOKRI ( vsi ostali brez BIO odpadkov) in BIO odpadki ( biorazgradljivi odpadki in zeleni odrez)
",Ne," o1:8 o2:6 o3:3 o4:4 o5:4 o6:6 o7:6 o8:6 o9:6 o10:6 o11:6 o12:3 o13:8 o14:1 o15:5 o16:1 o17:5 o18:2 o19:2 o20:1 o21:3 o22:3 o23:1 o24:7 o25:6 o26:8 o27:0 o28:7 o29:7 o30:0 o31:2 o32:6 o33:5 o34:5 o35:5 o36:8 o37:8 o38:8 o39:5 o40:8 o41:2 o42:3 o43:1 o44:1 o45:1 o46:1 o47:3 o48:8 o49:8 o50:6 o51:6 o52:2 o53:8 o54:1 o55:4 o56:0 o57:2 o58:5 o59:8 o60:5 o61:3 o62:3 o63:8 o64:6 o65:8 o66:3 o67:8 o68:2 o69:3 o70:3 o71:6 o72:8 o73:8 o74:8 o75:3 o76:3 o77:8 o78:8 o79:5 o80:3 o81:3 o82:5 o83:5 o84:1 o85:5 o86:5 o87:1 o88:1 o89:3 o90:5 o91:6 o92:5 o93:1 o94:5 o95:5 o96:3 o97:2 o98:2 o99:2 o100:2 o101:2 o102:5 o103:4 o104:5 o105:8 o106:4 o107:2 o108:5 o109:3 o110:8 o111:8 o112:1 o113:1 o114:3 o115:3 o116:5 o117:0 o118:0 o119:0 o120:8 o121:8 o122:8 o123:6 o124:5 o125:8 o126:2 o127:8 o128:8 o129:8 o130:6 o131:5 o132:3 o133:5 o134:5 o135:5 o136:3 o137:5 o138:8 o139:3 o140:3 o141:6 o142:5 o143:1 o144:3 o145:8 o146:8 o147:5 o148:5 o149:6 o150:8 o151:8 o152:8 o153:8 o154:5 o155:4"
"KSP Ljutomer d.o.o.","Zdravko LEBARIČ (zdravko.lebaric@ksp-ljutomer.si; 041479204)","Največ težav smo imeli z nejasno ločnico med prostovoljnim in obveznim sodelovanjem v akciji in posledično s pokrivanjem stroškov v obveznem delu sodelovanja komunalnega podjetja. Slednje mora namreč hočeš ali nočeš zaradi narave svoje dejavnosti sodelovati v akciji, pokriti materialne stroške (prevoze, nakladanje sortiranje, vreče, zaščitno opremo za občane prostovoljce itd.) in zahtevati od vseh zaposlenih, da pridejo na delo prostovoljno oz. v nasprotnem plačati nadure, če odklonijo prostovoljnost.
Predlagamo, da se v naslednji akciji jasno definira, kaj spada pod prostovoljni del akcije in kaj pod obvezni del in kdo zagotovi sredstva za stroške obveznega dela.",da,za,"Zdravko LEBARIČ (zravko.lebaric@ksp-ljutomer.si; 041479204)",da,da,"po volumnu mešanega preostanka odpadkov","z zloženkami","zbirni center",da,"-MKO: zelena barva;
-embalaža (plastenke, pločevinke, sestavljena embalaža, embalažni stiropor in folije): rumena barva;
-steklena embalaža bela barva;
-papir in papirnata embalaža: moder zabojnik;
-BIO odpadke: rjave bvave","Azbestna kritina, pomije in odslužena vozila se ne zbirajo v okviru javne službe zbiranja komunalnih odpadkov!"," o1:8 o2:2 o3:3 o4:2 o5:2 o6:0 o7:6 o8:6 o9:6 o10:8 o11:2 o12:3 o13:8 o14:1 o15:2 o16:1 o17:5 o18:5 o19:2 o20:1 o21:3 o22:3 o23:1 o24:8 o25:8 o26:8 o27:0 o28:5 o29:8 o30:0 o31:2 o32:8 o33:5 o34:5 o35:5 o36:8 o37:8 o38:8 o39:5 o40:8 o41:2 o42:3 o43:1 o44:1 o45:2 o46:1 o47:3 o48:5 o49:8 o50:6 o51:6 o52:1 o53:8 o54:1 o55:2 o56:0 o57:2 o58:1 o59:5 o60:5 o61:3 o62:5 o63:1 o64:8 o65:8 o66:3 o67:8 o68:2 o69:5 o70:3 o71:8 o72:8 o73:8 o74:8 o75:3 o76:3 o77:8 o78:8 o79:8 o80:3 o81:3 o82:5 o83:5 o84:1 o85:5 o86:1 o87:1 o88:3 o89:3 o90:5 o91:6 o92:5 o93:8 o94:5 o95:5 o96:3 o97:2 o98:2 o99:2 o100:2 o101:2 o102:5 o103:2 o104:3 o105:8 o106:2 o107:2 o108:5 o109:8 o110:8 o111:8 o112:1 o113:1 o114:3 o115:3 o116:5 o117:0 o118:0 o119:0 o120:8 o121:2 o122:8 o123:1 o124:8 o125:8 o126:2 o127:5 o128:8 o129:8 o130:6 o131:2 o132:3 o133:5 o134:5 o135:5 o136:3 o137:5 o138:8 o139:3 o140:3 o141:6 o142:5 o143:1 o144:3 o145:8 o146:8 o147:5 o148:5 o149:8 o150:8 o151:8 o152:8 o153:6 o154:2 o155:8"
"Saubermacher - Komunala Murska Sobota d.o.o.","Drago Dervarič, drago.dervaric@saubermacher-komunala.si, 025268450","Največ težav so predstavljali občani, ki so še nekaj naslednjih dni prinašali odpadke na zbirna mesta.",ne,za,"Omer Faflek, omer.faflek@saubermacher-komunala.si, 025268450",da,da,"po volumnu mešanega preostanka odpadkov",drugo,zabojniki,ne,"papir in papirna embalaža, papir, rdeč pokrov
mešana embalaža (plastična, kovinska, iz sestavljenih materialov), embalaža, rumen pokrov
steklo in steklena embalaža, steklo, zelen pokrov","Ozaveščanje vršimo na vse naštete načine in še kakšnega poleg."," o1:6 o2:6 o3:3 o4:2 o5:2 o6:6 o7:6 o8:6 o9:6 o10:6 o11:2 o12:3 o13:7 o14:1 o15:2 o16:1 o17:5 o18:5 o19:2 o20:1 o21:3 o22:3 o23:1 o24:8 o25:6 o26:5 o27:0 o28:2 o29:8 o30:0 o31:2 o32:6 o33:5 o34:5 o35:5 o36:8 o37:2 o38:6 o39:5 o40:8 o41:2 o42:3 o43:1 o44:1 o45:2 o46:1 o47:3 o48:5 o49:5 o50:6 o51:6 o52:1 o53:1 o54:1 o55:2 o56:0 o57:2 o58:1 o59:5 o60:5 o61:3 o62:5 o63:1 o64:6 o65:7 o66:3 o67:7 o68:2 o69:5 o70:5 o71:6 o72:8 o73:6 o74:8 o75:3 o76:3 o77:8 o78:8 o79:5 o80:3 o81:3 o82:1 o83:2 o84:1 o85:2 o86:2 o87:1 o88:1 o89:3 o90:3 o91:6 o92:5 o93:8 o94:6 o95:5 o96:3 o97:2 o98:2 o99:2 o100:2 o101:2 o102:5 o103:2 o104:3 o105:8 o106:2 o107:2 o108:4 o109:3 o110:8 o111:8 o112:1 o113:1 o114:3 o115:3 o116:6 o117:0 o118:0 o119:0 o120:0 o121:2 o122:8 o123:1 o124:5 o125:5 o126:2 o127:5 o128:8 o129:8 o130:6 o131:2 o132:3 o133:5 o134:5 o135:5 o136:3 o137:5 o138:8 o139:3 o140:3 o141:6 o142:2 o143:1 o144:3 o145:6 o146:6 o147:5 o148:5 o149:6 o150:8 o151:8 o152:8 o153:6 o154:6 o155:4"
"Simbio, d.o.o, družba za ravnanje z odpadki","janez janez.karo@simbio.si 03 425 64 00","veliko območje, veliko lokacij je nemogoče oskrbeti v enem dnevu.
količine so bile prevelike",ne,za,"janez janez.karo@simbio.si 03 425 64 00","odvisno od količine","odvisno od količine","po volumnu mešanega preostanka odpadkov",drugo,"zbirni center",da,"
zelen zabojnik za preostanek MKO,zelen zabojnik rumen pokrov za embalažo, rjav za bojnik za bio odpadke, zvon za papir (rdeč) zvon za steklo  (bel) ","ozaveščamo na vse načine, dopustili ste samo en odgovor"," o1:6 o2:2 o3:3 o4:2 o5:2 o6:0 o7:6 o8:6 o9:6 o10:6 o11:2 o12:3 o13:2 o14:1 o15:2 o16:2 o17:3 o18:5 o19:2 o20:2 o21:3 o22:3 o23:1 o24:8 o25:6 o26:5 o27:0 o28:5 o29:8 o30:0 o31:2 o32:6 o33:2 o34:5 o35:5 o36:8 o37:5 o38:5 o39:3 o40:6 o41:2 o42:3 o43:1 o44:2 o45:2 o46:1 o47:3 o48:5 o49:5 o50:6 o51:6 o52:1 o53:5 o54:1 o55:2 o56:0 o57:2 o58:1 o59:6 o60:5 o61:3 o62:3 o63:1 o64:5 o65:5 o66:3 o67:8 o68:2 o69:3 o70:3 o71:6 o72:5 o73:8 o74:8 o75:3 o76:3 o77:5 o78:8 o79:5 o80:3 o81:3 o82:2 o83:5 o84:1 o85:2 o86:2 o87:1 o88:1 o89:3 o90:5 o91:6 o92:5 o93:5 o94:5 o95:5 o96:3 o97:2 o98:5 o99:2 o100:2 o101:2 o102:5 o103:2 o104:2 o105:8 o106:2 o107:2 o108:5 o109:3 o110:8 o111:8 o112:1 o113:1 o114:3 o115:3 o116:5 o117:0 o118:0 o119:0 o120:8 o121:2 o122:5 o123:5 o124:5 o125:5 o126:2 o127:5 o128:8 o129:8 o130:6 o131:2 o132:3 o133:5 o134:5 o135:3 o136:3 o137:5 o138:5 o139:3 o140:3 o141:6 o142:5 o143:1 o144:3 o145:5 o146:6 o147:5 o148:5 o149:6 o150:6 o151:6 o152:8 o153:6 o154:5 o155:5"
"Javno Podjetje Komunala Izola d.o.o","ANJA, ODVOZI@KOMUNALA-IZOLA.SI, 05/6634936","NI BILO VEČJIH TEŽAV.",da,za,"ANJA IN GINO, ODVOZI@KOMUNALA-IZOLA.SI, 05/6634936",da,da,"glede na površino bivalnih površin","z zloženkami","zbirni center",da,"PAPIR IN KARTONSKA EMBALAŽA: MODER ZABOJNIK/RDEČA NALEPKA
PLASTIČNA IN KOVINSKA EMBALAŽA:MODER ZABOJNIK IN RUMENA NALEPKA
STEKLENA EMBALAŽA:MODER ZABOJNIK IN BELA NALEPKA
BIOLOŠKI ODPADKI: RJAV ZABOJNIK Z BELO/RJAVO NALEPKO","OPOMBA: V NAŠEM KOMUNALNEM PODJETJU OBČANE OBVEŠČAMO POLEG LETAKOV ŠE S PLAKATI, Z OGLASI NA RADIU, V LOKALNEM OBČINSKEM ČASOPISU, SPLETNI STRANI."," o1:6 o2:6 o3:3 o4:4 o5:4 o6:0 o7:6 o8:6 o9:6 o10:6 o11:2 o12:8 o13:8 o14:1 o15:5 o16:1 o17:5 o18:8 o19:2 o20:1 o21:3 o22:3 o23:1 o24:8 o25:6 o26:8 o27:0 o28:5 o29:6 o30:0 o31:2 o32:6 o33:5 o34:5 o35:5 o36:8 o37:8 o38:8 o39:5 o40:6 o41:2 o42:3 o43:1 o44:1 o45:2 o46:1 o47:3 o48:8 o49:8 o50:6 o51:6 o52:1 o53:1 o54:1 o55:4 o56:0 o57:1 o58:1 o59:6 o60:5 o61:3 o62:5 o63:1 o64:6 o65:8 o66:3 o67:6 o68:2 o69:5 o70:3 o71:6 o72:8 o73:8 o74:8 o75:3 o76:3 o77:8 o78:8 o79:5 o80:3 o81:3 o82:1 o83:5 o84:1 o85:2 o86:5 o87:1 o88:1 o89:8 o90:5 o91:6 o92:8 o93:5 o94:5 o95:5 o96:3 o97:2 o98:8 o99:2 o100:2 o101:2 o102:5 o103:4 o104:8 o105:8 o106:4 o107:2 o108:8 o109:3 o110:6 o111:6 o112:1 o113:1 o114:3 o115:3 o116:5 o117:0 o118:0 o119:0 o120:8 o121:2 o122:8 o123:6 o124:5 o125:5 o126:2 o127:8 o128:8 o129:6 o130:6 o131:4 o132:3 o133:5 o134:5 o135:5 o136:8 o137:5 o138:8 o139:3 o140:3 o141:6 o142:5 o143:1 o144:8 o145:6 o146:6 o147:5 o148:5 o149:6 o150:6 o151:6 o152:8 o153:6 o154:8 o155:8"
